Tempo (s)	Corrente (A)	Tensão (V)
0.197	5.36E-04	0.01
0.198	5.36E-04	0.01
0.199	5.36E-04	0.01
0.2	5.36E-04	0.01
0.201	5.36E-04	0.01
0.202	5.36E-04	0.01
0.203	5.36E-04	0.01
0.204	5.36E-04	0.01
0.205	5.36E-04	0.01
0.206	5.36E-04	0.01
0.207	5.36E-04	0.01
0.208	5.36E-04	0.01
0.209	5.36E-04	0.01
0.21	5.36E-04	0.01
0.211	5.36E-04	0.01
0.212	5.36E-04	0.01
0.213	5.36E-04	0.01
0.214	5.36E-04	0.01
0.215	5.36E-04	0.01
0.216	5.36E-04	0.01
0.217	5.36E-04	0.02
0.218	5.36E-04	0.02
0.219	5.36E-04	0.02
0.22	5.36E-04	0.02
0.221	5.36E-04	0.02
0.222	5.36E-04	0.02
0.223	5.36E-04	0.02
0.224	5.36E-04	0.02
0.225	5.36E-04	0.02
0.226	5.36E-04	0.02
0.227	5.36E-04	0.02
0.228	5.36E-04	0.02
0.229	5.36E-04	0.02
0.23	5.36E-04	0.02
0.231	5.36E-04	0.03
0.232	5.36E-04	0.03
0.233	5.36E-04	0.03
0.234	5.36E-04	0.03
0.235	5.36E-04	0.03
0.236	5.36E-04	0.03
0.237	5.36E-04	0.03
0.238	5.36E-04	0.04
0.239	5.36E-04	0.04
0.24	5.36E-04	0.04
0.241	5.36E-04	0.04
0.242	5.36E-04	0.04
0.243	5.36E-04	0.04
0.244	5.36E-04	0.05
0.245	5.36E-04	0.05
0.246	5.36E-04	0.05
0.247	5.36E-04	0.05
0.248	5.36E-04	0.06
0.249	5.36E-04	0.06
0.25	5.36E-04	0.06
0.251	5.36E-04	0.07
0.252	5.36E-04	0.07
0.253	5.36E-04	0.07
0.254	5.36E-04	0.08
0.255	5.36E-04	0.08
0.256	5.36E-04	0.09
0.257	5.36E-04	0.09
0.258	5.36E-04	0.1
0.259	5.36E-04	0.1
0.26	5.36E-04	0.11
0.261	5.36E-04	0.12
0.262	5.36E-04	0.12
0.263	5.36E-04	0.13
0.264	5.36E-04	0.14
0.265	5.36E-04	0.15
0.266	5.36E-04	0.16
0.267	5.36E-04	0.17
0.268	5.36E-04	0.18
0.269	5.36E-04	0.2
0.27	5.36E-04	0.21
0.271	5.36E-04	0.23
0.272	5.36E-04	0.25
