Tempo (s)	Corrente (A)	Tensão (V)
0.562	5.36E-04	0.12
0.563	5.36E-04	0.12
0.564	5.36E-04	0.12
0.565	5.36E-04	0.13
0.566	5.36E-04	0.12
0.567	5.36E-04	0.13
0.568	5.36E-04	0.13
0.569	5.36E-04	0.13
0.57	5.36E-04	0.13
0.571	5.36E-04	0.14
0.572	5.36E-04	0.14
0.573	5.36E-04	0.14
0.574	5.36E-04	0.14
0.575	5.36E-04	0.14
0.576	5.36E-04	0.14
0.577	5.36E-04	0.14
0.578	5.36E-04	0.14
0.579	5.36E-04	0.14
0.58	5.36E-04	0.14
0.581	5.36E-04	0.14
0.582	5.36E-04	0.14
0.583	5.36E-04	0.14
0.584	5.36E-04	0.14
0.585	5.36E-04	0.14
0.586	5.36E-04	0.14
0.587	5.36E-04	0.14
0.588	5.36E-04	0.13
0.589	5.36E-04	0.13
0.59	5.36E-04	0.13
0.591	5.36E-04	0.12
0.592	5.36E-04	0.12
0.593	5.36E-04	0.12
0.594	5.36E-04	0.11
0.595	5.36E-04	0.11
0.596	5.36E-04	0.1
0.597	5.36E-04	0.1
0.598	5.36E-04	0.09
